date,open,high,low,close,volume
2015/12/2,3612.46,3705.53,3588.74,3703.48,30028.95
2015/12/3,3691.73,3761,3682.71,3753.72,28012.4
2015/12/4,3725.72,3737.1,3675.61,3690.9,25060.64
2015/12/7,3695.9,3710.69,3671.58,3703.34,20694.87
2015/12/8,3684.14,3684.14,3629.83,3633.27,22314.33
2015/12/9,3625.43,3659.93,3617.18,3635.55,19427.9
2015/12/10,3632.78,3668.27,3608.01,3617.69,19912.28
2015/12/11,3603.09,3617.67,3570.83,3595.68,18151.19
2015/12/14,3563.09,3687.09,3558.7,3685.93,21387.21
2015/12/15,3683.26,3695.48,3660.82,3674.97,19897.47
2015/12/16,3687.27,3704.62,3670.62,3680.99,19230.63
2015/12/17,3699.29,3751.41,3699.29,3747.91,28209.04
2015/12/18,3742.58,3784.27,3735.44,3746.76,27224.58
2015/12/21,3735.85,3822.14,3732.87,3813.09,29812.53
2015/12/22,3816.75,3823.35,3786.1,3822.45,25922.21
2015/12/23,3824.01,3856.74,3802.69,3805.92,29642.34
2015/12/24,3800.91,3810.21,3739.05,3781.1,22617.79
2015/12/25,3782.72,3804.72,3769.62,3796.96,19679.51
2015/12/28,3805.15,3811.22,3699.3,3699.3,26585.6
2015/12/29,3693.82,3730.86,3680.26,3730.41,17985.4
2015/12/30,3733.54,3740.48,3703.53,3739.7,18556.07
2015/12/31,3737.15,3747.76,3703.42,3704.29,17580.61
2016/1/4,3701.58,3703.78,3449.5,3450.03,18281.59
2016/1/5,3345.63,3483.12,3338.1,3440.79,26481.26
2016/1/6,3444.44,3519.73,3442.2,3518.54,23725.94
2016/1/7,3463.89,3463.89,3261.16,3270.71,7008.11
2016/1/8,3343.44,3386.28,3199.25,3334.93,28444.57
2016/1/11,3277.78,3313.91,3157.7,3157.71,26944.27
2016/1/12,3167.63,3190.03,3117.58,3164.07,20644.97
2016/1/13,3183.09,3201.75,3086.88,3087.2,19306.99
2016/1/14,3008.11,3152.7,3001.36,3147.86,21155.71
2016/1/15,3127.3,3141.61,3018.13,3036.04,19748.98
2016/1/18,2980.09,3082.61,2977.17,3049.49,16375
2016/1/19,3050.11,3152.28,3041.64,3147.73,20397.21
2016/1/20,3132.3,3156.71,3089.37,3115.34,21525.19
2016/1/21,3071.03,3138.52,3014.29,3014.71,19039.12
2016/1/22,3046.83,3068.01,2984.58,3052.47,15876.51
2016/1/25,3070.8,3093.49,3047.45,3075.42,15215.75
2016/1/26,3043.11,3047.64,2871.46,2877.7,20956.17
2016/1/27,2884.3,2897.56,2760.92,2862.75,21436.49
2016/1/28,2837.17,2867.92,2770.41,2778.98,17018.57
2016/1/29,2776.01,2883.41,2772.77,2864.76,18564.07
2016/2/1,2857.81,2862.28,2778.83,2813.68,15563.34
2016/2/2,2812.78,2883.09,2812.78,2877.21,15726.71
2016/2/3,2845.75,2873.51,2821.96,2866.36,14775.84
2016/2/4,2879.12,2922.96,2878.99,2910.08,16951.36
2016/2/5,2912.21,2919.47,2890.22,2891.62,14046.1
2016/2/15,2809.39,2888.41,2806.38,2873.57,12860.39
2016/2/16,2886.57,2972.57,2886.57,2968.33,19509.4
2016/2/17,2961.18,3002,2955.5,3000.55,21607.14
2016/2/18,3015.7,3027.62,2990.35,2995.79,21810.55
2016/2/19,2987.39,3006.12,2972.32,2992.8,16268.22
2016/2/22,3022.77,3070.3,3014.09,3063.17,23114.21
2016/2/23,3061.63,3064.07,3005.61,3038.16,19904.47
2016/2/24,3024.06,3065.95,3005.61,3064.93,21247.74
2016/2/25,3057.95,3057.95,2856.58,2868.49,26860.24
2016/2/26,2888.18,2914,2841.8,2895.6,19023.96
