Date,Open,High,Low,Close, Volume,Turnover
20090416,2691.90,2701.76,2654.43,2687.04,14996706680.00,1470.49
20090417,2677.40,2694.35,2632.80,2656.02,12877079240.00,1325.27
20090420,2649.45,2714.50,2649.45,2714.50,11928933908.00,1177.42
20090421,2678.89,2703.76,2652.57,2686.70,13557873769.00,1347.41
20090422,2699.40,2722.94,2584.21,2584.37,15094998349.00,1481.61
20090423,2563.72,2605.33,2556.90,2600.66,9760772240.00,937.36
20090424,2613.21,2616.64,2581.28,2581.72,8996066865.00,909.96
20090427,2578.13,2578.13,2512.47,2517.92,8876395516.00,848.27
20090428,2498.28,2536.69,2498.28,2529.88,7264142003.00,745.50
20090429,2531.55,2615.81,2531.55,2612.48,10005011949.00,1017.32
20090430,2622.74,2648.10,2619.61,2633.90,10771544085.00,1109.57
20090504,2645.45,2720.85,2645.45,2720.85,11975033402.00,1220.71
20090505,2738.75,2753.78,2721.02,2733.64,11851071989.00,1208.34
20090506,2728.73,2770.39,2726.95,2768.17,12444516558.00,1293.00
20090507,2784.86,2794.91,2730.12,2763.64,14118950881.00,1470.21
20090508,2748.53,2789.12,2730.79,2782.08,12509206599.00,1308.55
20090511,2801.02,2828.04,2716.43,2716.43,14299933825.00,1478.91
20090512,2694.95,2777.63,2694.95,2777.63,9756699408.00,968.18
20090513,2781.55,2804.42,2765.53,2800.43,11639403103.00,1228.48
20090514,2770.18,2793.11,2754.08,2782.64,9547595477.00,999.95
20090515,2798.34,2804.75,2771.13,2791.39,8472948726.00,876.70
20090518,2779.70,2807.58,2740.11,2805.31,9182912183.00,971.62
20090519,2830.48,2837.95,2814.81,2830.65,11536603524.00,1238.67
20090520,2833.76,2837.62,2801.17,2801.17,10296440740.00,1085.45
20090521,2784.10,2794.33,2733.31,2738.47,10141501588.00,1074.15
20090522,2723.53,2753.59,2714.63,2734.33,7587139032.00,807.46
20090525,2678.20,2750.48,2669.82,2743.24,8748587841.00,956.77
20090526,2748.55,2756.33,2721.69,2721.91,9196482291.00,1014.91
20090527,2735.75,2763.64,2722.73,2756.23,8590367443.00,891.04
20090601,2790.78,2846.11,2790.78,2841.12,11653767664.00,1296.02
20090602,2859.23,2867.19,2840.00,2846.10,11887563474.00,1302.96
20090603,2846.03,2905.57,2846.03,2905.57,12185109902.00,1312.47
20090604,2894.52,2925.97,2875.60,2916.03,13939060404.00,1513.23
20090605,2925.49,2934.04,2903.49,2903.49,11828184685.00,1310.19
20090608,2904.59,2934.75,2882.68,2911.64,10746867053.00,1150.89
20090609,2913.21,2927.15,2866.17,2927.15,10593097415.00,1117.68
20090610,2936.59,2962.17,2936.59,2958.49,11999982452.00,1244.48
20090611,2952.96,2968.42,2931.86,2935.11,10583537213.00,1115.21
20090612,2929.30,2942.40,2859.58,2879.50,9921011455.00,1022.56
20090615,2875.29,2940.14,2875.29,2940.14,8612751009.00,968.43
20090616,2918.15,2949.10,2914.89,2934.37,8186020952.00,932.55
20090617,2933.46,2981.77,2909.91,2979.51,8867048022.00,1004.96
20090618,3002.67,3026.35,3002.67,3025.03,11283594324.00,1292.45
20090619,3034.83,3054.69,3020.51,3047.85,12429835660.00,1319.60
20090622,3072.08,3075.69,3038.93,3044.53,12099641291.00,1288.96
20090623,3001.32,3073.37,2993.29,3044.17,12046278724.00,1264.41
20090624,3040.12,3073.42,3030.23,3073.42,11489291088.00,1270.06
20090625,3076.53,3086.72,3062.25,3069.05,9096683687.00,1037.60
20090626,3076.63,3086.82,3062.84,3077.70,8155170556.00,919.66
20090629,3081.34,3125.15,3079.97,3125.03,9430066429.00,1064.56
20090630,3135.66,3135.66,3101.47,3106.46,9664238390.00,1128.17
20090701,3095.93,3169.08,3095.93,3169.08,11176899337.00,1309.84
20090702,3178.94,3208.98,3178.94,3208.98,13113474960.00,1563.70
20090703,3184.86,3247.70,3184.86,3247.70,12823636998.00,1520.86
20090706,3253.37,3290.82,3253.37,3288.82,15218852431.00,1799.97
